proportion
0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.17,0.106,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.196,0.142,0.024,0.02,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.156,0.098,0.008,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.14,0.092,0.008,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.062,0.04,0.006,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.07,0.056,0.006,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.198,0.12,0.008,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.194,0.126,0.012,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.134,0.076,0.008,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.128,0.082,0.006,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.054,0.03,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.058,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.184,0.122,0.006,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.194,0.12,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.004,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.142,0.1,0.004,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.154,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.084,0.064,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.056,0.046,0.006,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.162,0.112,0.006,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.198,0.134,0.008,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.162,0.11,0.006,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.166,0.1,0.008,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.062,0.048,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.058,0.042,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.198,0.116,0.01,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.202,0.124,0.008,0.008,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

