proportion
0.122,0.144,0.198,0.264,0.34,0.426,0.43,0.448,0.474,0.538,0.646,0.754,0.838,0.856,0.892,0.938,0.962,0.974,0.992,1,
0.144,0.142,0.156,0.256,0.324,0.332,0.428,0.56,0.686,0.774,0.852,0.908,0.946,0.97,0.982,0.996,1,0.998,1,1,
0.102,0.162,0.2,0.274,0.398,0.5,0.59,0.658,0.726,0.792,0.84,0.896,0.904,0.906,0.934,0.944,0.982,0.982,0.982,0.984,
0.062,0.124,0.174,0.204,0.272,0.392,0.462,0.568,0.722,0.758,0.824,0.864,0.894,0.91,0.946,0.98,0.992,0.992,1,1,
0.086,0.11,0.202,0.3,0.398,0.514,0.634,0.686,0.724,0.778,0.824,0.89,0.934,0.956,0.972,0.988,0.996,0.988,0.994,1,
0.076,0.06,0.076,0.106,0.138,0.188,0.244,0.34,0.432,0.552,0.582,0.602,0.684,0.69,0.73,0.802,0.796,0.856,0.892,0.882,

0.094,0.096,0.106,0.18,0.26,0.3,0.34,0.418,0.478,0.514,0.572,0.638,0.674,0.722,0.694,0.692,0.71,0.682,0.666,0.666,
0.09,0.08,0.102,0.126,0.184,0.232,0.246,0.276,0.326,0.374,0.364,0.384,0.472,0.526,0.616,0.66,0.716,0.744,0.836,0.824,
0.118,0.144,0.216,0.226,0.224,0.276,0.35,0.4,0.478,0.524,0.55,0.612,0.622,0.678,0.696,0.746,0.786,0.824,0.868,0.892,
0.084,0.122,0.138,0.162,0.178,0.196,0.204,0.248,0.334,0.366,0.41,0.418,0.452,0.458,0.454,0.408,0.418,0.378,0.388,0.426,
0.074,0.084,0.12,0.158,0.144,0.188,0.22,0.21,0.246,0.292,0.364,0.4,0.446,0.478,0.506,0.442,0.392,0.426,0.452,0.482,
0.102,0.104,0.144,0.152,0.144,0.152,0.158,0.196,0.236,0.236,0.248,0.262,0.24,0.236,0.256,0.24,0.25,0.224,0.246,0.292,
0.08,0.098,0.13,0.172,0.188,0.184,0.198,0.224,0.256,0.282,0.364,0.44,0.512,0.522,0.582,0.65,0.634,0.704,0.678,0.662,
0.1,0.118,0.182,0.256,0.302,0.368,0.354,0.346,0.348,0.368,0.464,0.458,0.47,0.486,0.498,0.5,0.44,0.508,0.566,0.566,
0.104,0.084,0.094,0.116,0.15,0.206,0.16,0.154,0.124,0.14,0.15,0.182,0.19,0.208,0.196,0.244,0.24,0.266,0.254,0.268,
0.07,0.07,0.132,0.192,0.232,0.236,0.248,0.288,0.31,0.384,0.394,0.466,0.474,0.542,0.596,0.602,0.554,0.566,0.504,0.556,

0.004,0.01,0.026,0.026,0.042,0.074,0.1,0.108,0.16,0.226,0.298,0.324,0.43,0.502,0.6,0.69,0.752,0.848,0.898,0.95,
0.016,0.018,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.006,0.006,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.016,0.014,0.008,0.01,0.012,0.022,0.014,0.008,0.002,0.002,0.01,0.004,0,0,0,0,0,0,0,0,
