gnerations , DifferentNumberOfGenome , averageFitness , varianceFitness , FirstQuartileFitness , medianFitness , thirdQuartileFitness, averageMatch , variance Match ,FirstQuartileMatch , medianMatch , thirdMatch , alive 
142,40,0.190892,0.0111017,0.119718,0.183099,0.21831,0.186667,0.151822,0,0,0,15
143,38,0.19021,0.0110141,0.118881,0.181818,0.216783,0.186667,0.151822,0,0,0,9
144,35,0.189444,0.0109665,0.131944,0.180556,0.215278,0.186667,0.151822,0,0,0,5
145,37,0.18823,0.0108034,0.131034,0.17931,0.213793,0.173333,0.143289,0,0,0,6
146,40,0.187123,0.0106676,0.130137,0.178082,0.219178,0.16,0.1344,0,0,0,8
147,41,0.186304,0.0105375,0.129252,0.176871,0.217687,0.16,0.1344,0,0,0,11
148,36,0.185676,0.0104168,0.121622,0.175676,0.209459,0.16,0.1344,0,0,0,9
149,46,0.184966,0.0103025,0.127517,0.174497,0.214765,0.146667,0.125156,0,0,0,18
150,41,0.184444,0.0101527,0.12,0.173333,0.206667,0.133333,0.115556,0,0,0,9
151,43,0.183311,0.00998922,0.125828,0.178808,0.211921,0.12,0.1056,0,0,0,9
152,44,0.183509,0.0097906,0.118421,0.177632,0.210526,0.12,0.1056,0,0,0,11
153,44,0.182832,0.00962818,0.117647,0.176471,0.20915,0.12,0.1056,0,0,0,13
154,43,0.182165,0.00945285,0.12987,0.175325,0.207792,0.106667,0.0952889,0,0,0,11
155,40,0.181677,0.00936917,0.129032,0.174194,0.212903,0.106667,0.0952889,0,0,0,6
156,41,0.180684,0.0092644,0.128205,0.173077,0.211538,0.08,0.0736,0,0,0,6
157,41,0.179873,0.00911554,0.127389,0.171975,0.210191,0.08,0.0736,0,0,0,7
158,40,0.179156,0.00898357,0.126582,0.170886,0.208861,0.0933333,0.0846222,0,0,0,7
159,41,0.178532,0.00883393,0.125786,0.169811,0.207547,0.08,0.0736,0,0,0,9
160,48,0.177833,0.00875343,0.125,0.16875,0.20625,0.08,0.0736,0,0,0,18
161,41,0.177308,0.00862343,0.124224,0.167702,0.198758,0.0666667,0.0622222,0,0,0,12
162,38,0.177119,0.00851392,0.123457,0.166667,0.203704,0.04,0.0384,0,0,0,11
163,40,0.176769,0.00837938,0.122699,0.171779,0.208589,0.04,0.0384,0,0,0,14
164,41,0.176504,0.00829159,0.121951,0.164634,0.207317,0.04,0.0384,0,0,0,12
165,38,0.175838,0.00818218,0.121212,0.163636,0.206061,0.0533333,0.0504889,0,0,0,10
166,37,0.175261,0.00821326,0.120482,0.162651,0.204819,0.0533333,0.0504889,0,0,0,7
167,37,0.174451,0.00812491,0.11976,0.161677,0.209581,0.0533333,0.0504889,0,0,0,8
168,40,0.17373,0.00802881,0.119048,0.160714,0.208333,0.0533333,0.0504889,0,0,0,9
169,38,0.173097,0.00791858,0.118343,0.16568,0.207101,0.0533333,0.0504889,0,0,0,9
170,36,0.172941,0.00773795,0.117647,0.170588,0.205882,0.04,0.0384,0,0,0,8
171,42,0.17232,0.00762795,0.116959,0.169591,0.204678,0.04,0.0384,0,0,0,14
172,40,0.172248,0.0076012,0.116279,0.168605,0.203488,0.04,0.0384,0,0,0,6
173,39,0.171715,0.00763743,0.115607,0.17341,0.202312,0.04,0.0384,0,0,0,7
174,46,0.170881,0.00753277,0.114943,0.172414,0.201149,0.0266667,0.0259556,0,0,0,10
175,43,0.170286,0.00740397,0.114286,0.171429,0.2,0.0266667,0.0259556,0,0,0,11
176,39,0.16947,0.00731007,0.113636,0.164773,0.198864,0.0266667,0.0259556,0,0,0,9
177,36,0.168964,0.00724115,0.112994,0.169492,0.19774,0.0266667,0.0259556,0,0,0,6
178,38,0.168315,0.00714762,0.11236,0.168539,0.196629,0.0266667,0.0259556,0,0,0,6
179,37,0.167449,0.00706343,0.111732,0.167598,0.195531,0.0266667,0.0259556,0,0,0,6
180,36,0.166889,0.00699789,0.111111,0.166667,0.2,0.0266667,0.0259556,0,0,0,9
181,39,0.166114,0.00689953,0.110497,0.165746,0.19337,0.0266667,0.0259556,0,0,0,9
182,45,0.166081,0.00683377,0.115385,0.164835,0.197802,0.0266667,0.0259556,0,0,0,14
183,37,0.165974,0.00670132,0.10929,0.163934,0.196721,0.0266667,0.0259556,0,0,0,8
184,38,0.165652,0.00662048,0.11413,0.163043,0.195652,0.0266667,0.0259556,0,0,0,13
185,42,0.165117,0.00658177,0.108108,0.162162,0.194595,0.0266667,0.0259556,0,0,0,16
186,41,0.164875,0.00657211,0.107527,0.16129,0.193548,0.0266667,0.0259556,0,0,0,17
187,40,0.164349,0.00649896,0.106952,0.160428,0.192513,0.0266667,0.0259556,0,0,0,15
188,41,0.164113,0.00641896,0.111702,0.164894,0.196809,0.0266667,0.0259556,0,0,0,15
189,37,0.164092,0.00636077,0.111111,0.15873,0.195767,0.0133333,0.0131556,0,0,0,13
190,36,0.16393,0.00634954,0.110526,0.163158,0.194737,0.0133333,0.0131556,0,0,0,10
191,36,0.163351,0.00630392,0.109948,0.157068,0.198953,0.0133333,0.0131556,0,0,0,11
192,38,0.163056,0.00628832,0.109375,0.161458,0.197917,0.0133333,0.0131556,0,0,0,16
193,45,0.162902,0.00623139,0.108808,0.160622,0.196891,0.0133333,0.0131556,0,0,0,21
194,33,0.162474,0.00616386,0.108247,0.159794,0.195876,0.0133333,0.0131556,0,0,0,17
195,32,0.162256,0.00609328,0.107692,0.158974,0.194872,0.0133333,0.0131556,0,0,0,17
